Sitio,Tipo,Fecha,Transecto,Hora,Clima,Temperatura,Humedad,Personas,Bloque,Veg,Hoja,Notes,sample_date
LL-C,C,01/09/22,3,22:26:00,PN,22,93.9,"HJ, DZ",A,10,65,"3 DZ, 1 HJ",2022-09-01
LL-C,C,01/09/22,3,22:26:00,PN,22,93.9,"HJ, DZ",B,0,35,"3 DZ, 1 HJ",2022-09-01
LL-C,C,01/09/22,3,22:26:00,PN,22,93.9,"HJ, DZ",C,0,60,"3 DZ, 1 HJ",2022-09-01
LL-C,C,01/09/22,3,22:26:00,PN,22,93.9,"HJ, DZ",D,0,25,"3 DZ, 1 HJ",2022-09-01
LL-C,C,01/09/22,4,22:46:00,PN,22.6,91.2,"HJ, DZ",A,5,40,"1 DZ, 1 HJ",2022-09-01
LL-C,C,01/09/22,4,22:46:00,PN,22.6,91.2,"HJ, DZ",B,0,30,"1 DZ, 1 HJ",2022-09-01
LL-C,C,01/09/22,4,22:46:00,PN,22.6,91.2,"HJ, DZ",C,5,20,"1 DZ, 1 HJ",2022-09-01
LL-C,C,01/09/22,4,22:46:00,PN,22.6,91.2,"HJ, DZ",D,5,25,"1 DZ, 1 HJ",2022-09-01
JZ-C,C,02/09/22,1,20:00:00,PN,23.2,88.7,"HJ, DZ",A,5,15,"2 DZ, 1 HJ",2022-09-02
JZ-C,C,02/09/22,1,20:00:00,PN,23.2,88.7,"HJ, DZ",B,10,15,"2 DZ, 1 HJ",2022-09-02
JZ-C,C,02/09/22,1,20:00:00,PN,23.2,88.7,"HJ, DZ",C,5,15,"2 DZ, 1 HJ",2022-09-02
JZ-C,C,02/09/22,1,20:00:00,PN,23.2,88.7,"HJ, DZ",D,25,5,"2 DZ, 1 HJ",2022-09-02
JZ-C,C,02/09/22,2,20:22:00,PN,22.3,90.3,"HJ, DZ",A,65,5,2 DZ,2022-09-02
JZ-C,C,02/09/22,2,20:22:00,PN,22.3,90.3,"HJ, DZ",B,60,5,2 DZ,2022-09-02
JZ-C,C,02/09/22,2,20:22:00,PN,22.3,90.3,"HJ, DZ",C,80,0,2 DZ,2022-09-02
JZ-C,C,02/09/22,2,20:22:00,PN,22.3,90.3,"HJ, DZ",D,35,0,2 DZ,2022-09-02
JZ-C,C,02/09/22,3,20:40:00,PN,22,93.5,"HJ, DZ",A,75,5,"0, 1 culebra llamado vehuco por Darwin. Muy largo, café, 1m, de 80b? in libro de Darwin",2022-09-02
JZ-C,C,02/09/22,3,20:40:00,PN,22,93.5,"HJ, DZ",B,90,5,"0, 1 culebra llamado vehuco por Darwin. Muy largo, café, 1m, de 80b? in libro de Darwin",2022-09-02
JZ-C,C,02/09/22,3,20:40:00,PN,22,93.5,"HJ, DZ",C,90,5,"0, 1 culebra llamado vehuco por Darwin. Muy largo, café, 1m, de 80b? in libro de Darwin",2022-09-02
JZ-C,C,02/09/22,3,20:40:00,PN,22,93.5,"HJ, DZ",D,90,5,"0, 1 culebra llamado vehuco por Darwin. Muy largo, café, 1m, de 80b? in libro de Darwin",2022-09-02
JZ-C,C,02/09/22,4,21:00:00,PN,21.9,94.3,"HJ, DZ",A,70,5,1 DZ,2022-09-02
JZ-C,C,02/09/22,4,21:00:00,PN,21.9,94.3,"HJ, DZ",B,95,5,1 DZ,2022-09-02
JZ-C,C,02/09/22,4,21:00:00,PN,21.9,94.3,"HJ, DZ",C,100,0,1 DZ,2022-09-02
JZ-C,C,02/09/22,4,21:00:00,PN,21.9,94.3,"HJ, DZ",D,80,5,1 DZ,2022-09-02
JZ-N,N,02/09/22,1,21:22:00,PN,21.6,94.5,"HJ, DZ",A,45,15,0,2022-09-02
JZ-N,N,02/09/22,1,21:22:00,PN,21.6,94.5,"HJ, DZ",B,80,20,0,2022-09-02
JZ-N,N,02/09/22,1,21:22:00,PN,21.6,94.5,"HJ, DZ",C,75,35,0,2022-09-02
JZ-N,N,02/09/22,1,21:22:00,PN,21.6,94.5,"HJ, DZ",D,75,45,0,2022-09-02
JZ-N,N,02/09/22,2,21:42:00,PN,22.8,91.2,"HJ, DZ",A,75,40,0,2022-09-02
JZ-N,N,02/09/22,2,21:42:00,PN,22.8,91.2,"HJ, DZ",B,75,65,0,2022-09-02
JZ-N,N,02/09/22,2,21:42:00,PN,22.8,91.2,"HJ, DZ",C,80,60,0,2022-09-02
JZ-N,N,02/09/22,2,21:42:00,PN,22.8,91.2,"HJ, DZ",D,75,80,0,2022-09-02
JZ-N,N,02/09/22,3,22:04:00,N,22,93.3,"HJ, DZ",A,85,75,0,2022-09-02
JZ-N,N,02/09/22,3,22:04:00,N,22,93.3,"HJ, DZ",B,30,55,0,2022-09-02
JZ-N,N,02/09/22,3,22:04:00,N,22,93.3,"HJ, DZ",C,75,80,0,2022-09-02
JZ-N,N,02/09/22,3,22:04:00,N,22,93.3,"HJ, DZ",D,80,70,0,2022-09-02
JZ-N,N,02/09/22,4,22:24:00,N,22.5,91.5,"HJ, DZ",A,20,80,0,2022-09-02
JZ-N,N,02/09/22,4,22:24:00,N,22.5,91.5,"HJ, DZ",B,60,65,0,2022-09-02
JZ-N,N,02/09/22,4,22:24:00,N,22.5,91.5,"HJ, DZ",C,70,45,0,2022-09-02
JZ-N,N,02/09/22,4,22:24:00,N,22.5,91.5,"HJ, DZ",D,40,95,0,2022-09-02
LL-C,C,03/09/22,1,20:04:00,N,21.6,92.3,"HJ, DZ",A,same,same,"2, 1 HJ, 1 DZ - 1 largatija, raya blanca, cafe colored, thin tail",2022-09-03
LL-C,C,03/09/22,1,20:04:00,N,21.6,92.3,"HJ, DZ",B,same,same,"2, 1 HJ, 1 DZ - 1 largatija, raya blanca, cafe colored, thin tail",2022-09-03
LL-C,C,03/09/22,1,20:04:00,N,21.6,92.3,"HJ, DZ",C,same,same,"2, 1 HJ, 1 DZ - 1 largatija, raya blanca, cafe colored, thin tail",2022-09-03
LL-C,C,03/09/22,1,20:04:00,N,21.6,92.3,"HJ, DZ",D,same,same,"2, 1 HJ, 1 DZ - 1 largatija, raya blanca, cafe colored, thin tail",2022-09-03
LL-C,C,03/09/22,2,20:24:00,N,21,96.2,"HJ, DZ",A,same,same,2 HJ,2022-09-03
LL-C,C,03/09/22,2,20:24:00,N,21,96.2,"HJ, DZ",B,same,same,2 HJ,2022-09-03
LL-C,C,03/09/22,2,20:24:00,N,21,96.2,"HJ, DZ",C,same,same,2 HJ,2022-09-03
LL-C,C,03/09/22,2,20:24:00,N,21,96.2,"HJ, DZ",D,same,same,2 HJ,2022-09-03
LL-C,C,03/09/22,3,20:42:00,PN,22,96.9,"HJ, DZ",A,same,same,"4, 2HJ, 2 DZ",2022-09-03
LL-C,C,03/09/22,3,20:42:00,PN,22,96.9,"HJ, DZ",B,same,same,"4, 2HJ, 2 DZ",2022-09-03
LL-C,C,03/09/22,3,20:42:00,PN,22,96.9,"HJ, DZ",C,same,same,"4, 2HJ, 2 DZ",2022-09-03
LL-C,C,03/09/22,3,20:42:00,PN,22,96.9,"HJ, DZ",D,same,same,"4, 2HJ, 2 DZ",2022-09-03
LL-C,C,03/09/22,4,21:00:00,N,22,93.3,"HJ, DZ",A,same,same,"2, 1 HJ, 1 DZ",2022-09-03
LL-C,C,03/09/22,4,21:00:00,N,22,93.3,"HJ, DZ",B,same,same,"2, 1 HJ, 1 DZ",2022-09-03
LL-C,C,03/09/22,4,21:00:00,N,22,93.3,"HJ, DZ",C,same,same,"2, 1 HJ, 1 DZ",2022-09-03
LL-C,C,03/09/22,4,21:00:00,N,22,93.3,"HJ, DZ",D,same,same,"2, 1 HJ, 1 DZ",2022-09-03
LL-N,N,03/09/22,1,21:30:00,N,20.5,97.5,"HJ, DZ",A,20,80,"limpiado! 5, 3 DZ, 2 HJ",2022-09-03
LL-N,N,03/09/22,1,21:30:00,N,20.5,97.5,"HJ, DZ",B,0,5,"limpiado! 5, 3 DZ, 2 HJ",2022-09-03
LL-N,N,03/09/22,1,21:30:00,N,20.5,97.5,"HJ, DZ",C,5,0,"limpiado! 5, 3 DZ, 2 HJ",2022-09-03
LL-N,N,03/09/22,1,21:30:00,N,20.5,97.5,"HJ, DZ",D,5,10,"limpiado! 5, 3 DZ, 2 HJ",2022-09-03
LL-N,N,03/09/22,2,21:50:00,N,21.2,96.1,"HJ, DZ",A,10,20,"limpiado! 5, 3 DZ, 2 HJ",2022-09-03
LL-N,N,03/09/22,2,21:50:00,N,21.2,96.1,"HJ, DZ",B,10,50,"limpiado! 5, 3 DZ, 2 HJ",2022-09-03
LL-N,N,03/09/22,2,21:50:00,N,21.2,96.1,"HJ, DZ",C,5,0,"limpiado! 5, 3 DZ, 2 HJ",2022-09-03
LL-N,N,03/09/22,2,21:50:00,N,21.2,96.1,"HJ, DZ",D,5,10,"limpiado! 5, 3 DZ, 2 HJ",2022-09-03
LL-N,N,03/09/22,3,22:14:00,N,21,96.3,"HJ, DZ",A,5,85,limpiado! 0,2022-09-03
LL-N,N,03/09/22,3,22:14:00,N,21,96.3,"HJ, DZ",B,0,95,limpiado! 0,2022-09-03
LL-N,N,03/09/22,3,22:14:00,N,21,96.3,"HJ, DZ",C,5,35,limpiado! 0,2022-09-03
LL-N,N,03/09/22,3,22:14:00,N,21,96.3,"HJ, DZ",D,5,30,limpiado! 0,2022-09-03
LL-N,N,03/09/22,4,22:34:00,N,23.4,87.6,"HJ, DZ",A,5,75,"limpiado! 5, 4 DZ, 1 HJ",2022-09-03
LL-N,N,03/09/22,4,22:34:00,N,23.4,87.6,"HJ, DZ",B,5,100,"limpiado! 5, 4 DZ, 1 HJ",2022-09-03
LL-N,N,03/09/22,4,22:34:00,N,23.4,87.6,"HJ, DZ",C,10,70,"limpiado! 5, 4 DZ, 1 HJ",2022-09-03
LL-N,N,03/09/22,4,22:34:00,N,23.4,87.6,"HJ, DZ",D,5,30,"limpiado! 5, 4 DZ, 1 HJ",2022-09-03
JZ-N,N,05/09/22,1,20:02:00,N,23.8,90.4,"HJ, DZ",A,same,same,"2, 2D DZ",2022-09-05
JZ-N,N,05/09/22,1,20:02:00,N,23.8,90.4,"HJ, DZ",B,same,same,"2, 2D DZ",2022-09-05
JZ-N,N,05/09/22,1,20:02:00,N,23.8,90.4,"HJ, DZ",C,same,same,"2, 2D DZ",2022-09-05
JZ-N,N,05/09/22,1,20:02:00,N,23.8,90.4,"HJ, DZ",D,same,same,"2, 2D DZ",2022-09-05
JZ-N,N,05/09/22,2,20:18:00,N,24.5,88.6,"HJ, DZ",A,same,same,"1, 1 HJ - trabajado al borde pero adentro no",2022-09-05
JZ-N,N,05/09/22,2,20:18:00,N,24.5,88.6,"HJ, DZ",B,same,same,"1, 1 HJ - trabajado al borde pero adentro no",2022-09-05
JZ-N,N,05/09/22,2,20:18:00,N,24.5,88.6,"HJ, DZ",C,same,same,"1, 1 HJ - trabajado al borde pero adentro no",2022-09-05
JZ-N,N,05/09/22,2,20:18:00,N,24.5,88.6,"HJ, DZ",D,same,same,"1, 1 HJ - trabajado al borde pero adentro no",2022-09-05
JZ-N,N,05/09/22,3,20:32:00,N,25.2,86.2,"HJ, DZ",A,same,same,"1, 1 DZ",2022-09-05
JZ-N,N,05/09/22,3,20:32:00,N,25.2,86.2,"HJ, DZ",B,same,same,"1, 1 DZ",2022-09-05
JZ-N,N,05/09/22,3,20:32:00,N,25.2,86.2,"HJ, DZ",C,same,same,"1, 1 DZ",2022-09-05
JZ-N,N,05/09/22,3,20:32:00,N,25.2,86.2,"HJ, DZ",D,same,same,"1, 1 DZ",2022-09-05
JZ-N,N,05/09/22,4,20:48:00,N,25,85.1,"HJ, DZ",A,25,90,"1, 1 HJ, A worked, rest not",2022-09-05
JZ-N,N,05/09/22,4,20:48:00,N,25,85.1,"HJ, DZ",B,same,same,"1, 1 HJ, A worked, rest not",2022-09-05
JZ-N,N,05/09/22,4,20:48:00,N,25,85.1,"HJ, DZ",C,same,same,"1, 1 HJ, A worked, rest not",2022-09-05
JZ-N,N,05/09/22,4,20:48:00,N,25,85.1,"HJ, DZ",D,same,same,"1, 1 HJ, A worked, rest not",2022-09-05
JZ-C,C,05/09/22,1,21:10:00,N,25.4,84.8,"HJ, DZ",A,0,25,"limpiado! 5, 3 DZ, 2 HJ",2022-09-05
JZ-C,C,05/09/22,1,21:10:00,N,25.4,84.8,"HJ, DZ",B,5,30,"limpiado! 5, 3 DZ, 2 HJ",2022-09-05
JZ-C,C,05/09/22,1,21:10:00,N,25.4,84.8,"HJ, DZ",C,0,25,"limpiado! 5, 3 DZ, 2 HJ",2022-09-05
JZ-C,C,05/09/22,1,21:10:00,N,25.4,84.8,"HJ, DZ",D,0,10,"limpiado! 5, 3 DZ, 2 HJ",2022-09-05
JZ-C,C,05/09/22,2,21:28:00,PN,25,86.0,"HJ, DZ",A,0,0,"limpiado! 3, 2 DZ, 1 HJ",2022-09-05
JZ-C,C,05/09/22,2,21:28:00,PN,25,86.0,"HJ, DZ",B,5,10,"limpiado! 3, 2 DZ, 1 HJ",2022-09-05
JZ-C,C,05/09/22,2,21:28:00,PN,25,86.0,"HJ, DZ",C,0,0,"limpiado! 3, 2 DZ, 1 HJ",2022-09-05
JZ-C,C,05/09/22,2,21:28:00,PN,25,86.0,"HJ, DZ",D,0,5,"limpiado! 3, 2 DZ, 1 HJ",2022-09-05
JZ-C,C,05/09/22,3,21:46:00,N,24.6,87.5,"HJ, DZ",A,0,5,"limpiado! 2, 1 HJ, 1 DZ",2022-09-05
JZ-C,C,05/09/22,3,21:46:00,N,24.6,87.5,"HJ, DZ",B,0,0,"limpiado! 2, 1 HJ, 1 DZ",2022-09-05
JZ-C,C,05/09/22,3,21:46:00,N,24.6,87.5,"HJ, DZ",C,5,0,"limpiado! 2, 1 HJ, 1 DZ",2022-09-05
JZ-C,C,05/09/22,3,21:46:00,N,24.6,87.5,"HJ, DZ",D,0,5,"limpiado! 2, 1 HJ, 1 DZ",2022-09-05
JZ-C,C,05/09/22,4,22:02:00,N,24.6,86.8,"HJ, DZ",A,5,5,limpiado! 0,2022-09-05
JZ-C,C,05/09/22,4,22:02:00,N,24.6,86.8,"HJ, DZ",B,10,0,limpiado! 0,2022-09-05
JZ-C,C,05/09/22,4,22:02:00,N,24.6,86.8,"HJ, DZ",C,5,5,limpiado! 0,2022-09-05
JZ-C,C,05/09/22,4,22:02:00,N,24.6,86.8,"HJ, DZ",D,5,5,limpiado! 0,2022-09-05
LL-N,N,06/09/22,1,20:02:00,CL,24.1,94.1,"HJ, DZ",A,same,same,3 - 3 DZ,2022-09-06
LL-N,N,06/09/22,1,20:02:00,CL,24.1,94.1,"HJ, DZ",B,same,same,3 - 3 DZ,2022-09-06
LL-N,N,06/09/22,1,20:02:00,CL,24.1,94.1,"HJ, DZ",C,same,same,3 - 3 DZ,2022-09-06
LL-N,N,06/09/22,1,20:02:00,CL,24.1,94.1,"HJ, DZ",D,same,same,3 - 3 DZ,2022-09-06
LL-N,N,06/09/22,2,20:16:00,CL,25.6,85.4,"HJ, DZ",A,same,same,"5 - 3 HJ, 2 DZ",2022-09-06
LL-N,N,06/09/22,2,20:16:00,CL,25.6,85.4,"HJ, DZ",B,same,same,"5 - 3 HJ, 2 DZ",2022-09-06
LL-N,N,06/09/22,2,20:16:00,CL,25.6,85.4,"HJ, DZ",C,same,same,"5 - 3 HJ, 2 DZ",2022-09-06
LL-N,N,06/09/22,2,20:16:00,CL,25.6,85.4,"HJ, DZ",D,same,same,"5 - 3 HJ, 2 DZ",2022-09-06
LL-N,N,06/09/22,3,20:32:00,CL,25.8,85.0,"HJ, DZ",A,same,same,"4 - 3 DZ, 1 HJ",2022-09-06
LL-N,N,06/09/22,3,20:32:00,CL,25.8,85.0,"HJ, DZ",B,same,same,"4 - 3 DZ, 1 HJ",2022-09-06
LL-N,N,06/09/22,3,20:32:00,CL,25.8,85.0,"HJ, DZ",C,same,same,"4 - 3 DZ, 1 HJ",2022-09-06
LL-N,N,06/09/22,3,20:32:00,CL,25.8,85.0,"HJ, DZ",D,same,same,"4 - 3 DZ, 1 HJ",2022-09-06
LL-N,N,06/09/22,4,20:48:00,CL,25.2,86.6,"HJ, DZ",A,same,same,"7 - 4 HJ, 3 DZ",2022-09-06
LL-N,N,06/09/22,4,20:48:00,CL,25.2,86.6,"HJ, DZ",B,same,same,"7 - 4 HJ, 3 DZ",2022-09-06
LL-N,N,06/09/22,4,20:48:00,CL,25.2,86.6,"HJ, DZ",C,same,same,"7 - 4 HJ, 3 DZ",2022-09-06
LL-N,N,06/09/22,4,20:48:00,CL,25.2,86.6,"HJ, DZ",D,same,same,"7 - 4 HJ, 3 DZ",2022-09-06
LL-C,C,06/09/22,1,21:10:00,CL,26,87.6,"HJ, DZ",A,same,same,"3 - 2 DZ, 1 HJ",2022-09-06
LL-C,C,06/09/22,1,21:10:00,CL,26,87.6,"HJ, DZ",B,same,same,"3 - 2 DZ, 1 HJ",2022-09-06
LL-C,C,06/09/22,1,21:10:00,CL,26,87.6,"HJ, DZ",C,same,same,"3 - 2 DZ, 1 HJ",2022-09-06
LL-C,C,06/09/22,1,21:10:00,CL,26,87.6,"HJ, DZ",D,same,same,"3 - 2 DZ, 1 HJ",2022-09-06
LL-C,C,06/09/22,2,21:26:00,CL,25.2,85.9,"HJ, DZ",A,same,same,"4 - 3 DZ, 1 HJ",2022-09-06
LL-C,C,06/09/22,2,21:26:00,CL,25.2,85.9,"HJ, DZ",B,same,same,"4 - 3 DZ, 1 HJ",2022-09-06
LL-C,C,06/09/22,2,21:26:00,CL,25.2,85.9,"HJ, DZ",C,same,same,"4 - 3 DZ, 1 HJ",2022-09-06
LL-C,C,06/09/22,2,21:26:00,CL,25.2,85.9,"HJ, DZ",D,same,same,"4 - 3 DZ, 1 HJ",2022-09-06
LL-C,C,06/09/22,3,21:42:00,CL,26.6,83.2,"HJ, DZ",A,same,same,"5 - 3 DZ, 2 HJ",2022-09-06
LL-C,C,06/09/22,3,21:42:00,CL,26.6,83.2,"HJ, DZ",B,same,same,"5 - 3 DZ, 2 HJ",2022-09-06
LL-C,C,06/09/22,3,21:42:00,CL,26.6,83.2,"HJ, DZ",C,same,same,"5 - 3 DZ, 2 HJ",2022-09-06
LL-C,C,06/09/22,3,21:42:00,CL,26.6,83.2,"HJ, DZ",D,same,same,"5 - 3 DZ, 2 HJ",2022-09-06
LL-C,C,06/09/22,4,21:58:00,CL,24.3,89.2,"HJ, DZ",A,same,same,0 - anolis (?) lizard in 4C captured!,2022-09-06
LL-C,C,06/09/22,4,21:58:00,CL,24.3,89.2,"HJ, DZ",B,same,same,0 - anolis (?) lizard in 4C captured!,2022-09-06
LL-C,C,06/09/22,4,21:58:00,CL,24.3,89.2,"HJ, DZ",C,same,same,0 - anolis (?) lizard in 4C captured!,2022-09-06
LL-C,C,06/09/22,4,21:58:00,CL,24.3,89.2,"HJ, DZ",D,same,same,0 - anolis (?) lizard in 4C captured!,2022-09-06
JZ-C,C,07/09/22,1,20:00:00,LL,21.1,100.0,"HJ, DZ",A,same,same,"5 - 3 DZ, 2 HJ",2022-09-07
JZ-C,C,07/09/22,1,20:00:00,LL,21.1,100.0,"HJ, DZ",B,same,same,"5 - 3 DZ, 2 HJ",2022-09-07
JZ-C,C,07/09/22,1,20:00:00,LL,21.1,100.0,"HJ, DZ",C,same,same,"5 - 3 DZ, 2 HJ",2022-09-07
JZ-C,C,07/09/22,1,20:00:00,LL,21.1,100.0,"HJ, DZ",D,same,same,"5 - 3 DZ, 2 HJ",2022-09-07
JZ-C,C,07/09/22,2,20:18:00,LL,22.5,100.0,"HJ, DZ",A,same,same,"4 - 2 DZ, 2 HJ, culebra llamado estrella por Darwin, pequeña cafe",2022-09-07
JZ-C,C,07/09/22,2,20:18:00,LL,22.5,100.0,"HJ, DZ",B,same,same,"4 - 2 DZ, 2 HJ, culebra llamado estrella por Darwin, pequeña cafe",2022-09-07
JZ-C,C,07/09/22,2,20:18:00,LL,22.5,100.0,"HJ, DZ",C,same,same,"4 - 2 DZ, 2 HJ, culebra llamado estrella por Darwin, pequeña cafe",2022-09-07
JZ-C,C,07/09/22,2,20:18:00,LL,22.5,100.0,"HJ, DZ",D,same,same,"4 - 2 DZ, 2 HJ, culebra llamado estrella por Darwin, pequeña cafe",2022-09-07
JZ-C,C,07/09/22,3,20:36:00,LL,19.9,100.0,"HJ, DZ",A,same,same,"3 - 2 DZ, 1 HJ, Hylidae!",2022-09-07
JZ-C,C,07/09/22,3,20:36:00,LL,19.9,100.0,"HJ, DZ",B,same,same,"3 - 2 DZ, 1 HJ, Hylidae!",2022-09-07
JZ-C,C,07/09/22,3,20:36:00,LL,19.9,100.0,"HJ, DZ",C,same,same,"3 - 2 DZ, 1 HJ, Hylidae!",2022-09-07
JZ-C,C,07/09/22,3,20:36:00,LL,19.9,100.0,"HJ, DZ",D,same,same,"3 - 2 DZ, 1 HJ, Hylidae!",2022-09-07
JZ-C,C,07/09/22,4,20:52:00,LL,19.9,100.0,"HJ, DZ",A,same,same,"2 - 2HJ, Anolis gracilipes capturado por Darwin",2022-09-07
JZ-C,C,07/09/22,4,20:52:00,LL,19.9,100.0,"HJ, DZ",B,same,same,"2 - 2HJ, Anolis gracilipes capturado por Darwin",2022-09-07
JZ-C,C,07/09/22,4,20:52:00,LL,19.9,100.0,"HJ, DZ",C,same,same,"2 - 2HJ, Anolis gracilipes capturado por Darwin",2022-09-07
JZ-C,C,07/09/22,4,20:52:00,LL,19.9,100.0,"HJ, DZ",D,same,same,"2 - 2HJ, Anolis gracilipes capturado por Darwin",2022-09-07
JZ-N,N,07/09/22,1,21:14:00,LL,21.2,100.0,"HJ, DZ",A,same,same,"2 - 1 HJ, 1 DZ",2022-09-07
JZ-N,N,07/09/22,1,21:14:00,LL,21.2,100.0,"HJ, DZ",B,same,same,"2 - 1 HJ, 1 DZ",2022-09-07
JZ-N,N,07/09/22,1,21:14:00,LL,21.2,100.0,"HJ, DZ",C,same,same,"2 - 1 HJ, 1 DZ",2022-09-07
JZ-N,N,07/09/22,1,21:14:00,LL,21.2,100.0,"HJ, DZ",D,same,same,"2 - 1 HJ, 1 DZ",2022-09-07
JZ-N,N,07/09/22,2,21:36:00,LL,21.6,100.0,"HJ, DZ",A,same,same,3 - rhinella?,2022-09-07
JZ-N,N,07/09/22,2,21:36:00,LL,21.6,100.0,"HJ, DZ",B,same,same,3 - rhinella?,2022-09-07
JZ-N,N,07/09/22,2,21:36:00,LL,21.6,100.0,"HJ, DZ",C,same,same,3 - rhinella?,2022-09-07
JZ-N,N,07/09/22,2,21:36:00,LL,21.6,100.0,"HJ, DZ",D,same,same,3 - rhinella?,2022-09-07
JZ-N,N,07/09/22,3,21:52:00,LL,20.1,100.0,"HJ, DZ",A,same,same,0 - Anolis gracilipes,2022-09-07
JZ-N,N,07/09/22,3,21:52:00,LL,20.1,100.0,"HJ, DZ",B,same,same,0 - Anolis gracilipes,2022-09-07
JZ-N,N,07/09/22,3,21:52:00,LL,20.1,100.0,"HJ, DZ",C,same,same,0 - Anolis gracilipes,2022-09-07
JZ-N,N,07/09/22,3,21:52:00,LL,20.1,100.0,"HJ, DZ",D,same,same,0 - Anolis gracilipes,2022-09-07
JZ-N,N,07/09/22,4,22:08:00,LL,20,100.0,"HJ, DZ",A,same,same,0,2022-09-07
JZ-N,N,07/09/22,4,22:08:00,LL,20,100.0,"HJ, DZ",B,same,same,0,2022-09-07
JZ-N,N,07/09/22,4,22:08:00,LL,20,100.0,"HJ, DZ",C,same,same,0,2022-09-07
JZ-N,N,07/09/22,4,22:08:00,LL,20,100.0,"HJ, DZ",D,same,same,0,2022-09-07
FCAT-V2,V,08/09/22,1,20:00:00,CL,22.8,96.8,"HJ, DZ",A,65,100,1 - 1 HJ,2022-09-08
FCAT-V2,V,08/09/22,1,20:00:00,CL,22.8,96.8,"HJ, DZ",B,50,100,1 - 1 HJ,2022-09-08
FCAT-V2,V,08/09/22,1,20:00:00,CL,22.8,96.8,"HJ, DZ",C,75,100,1 - 1 HJ,2022-09-08
FCAT-V2,V,08/09/22,1,20:00:00,CL,22.8,96.8,"HJ, DZ",D,75,100,1 - 1 HJ,2022-09-08
