Sitio,Tipo,Owner,Start UTM 1,Start UTM 2,Start Latitude,Start Longitude,Notas,Pair
FCAT-V2,V,FCAT,0648395,0041383,0.374303,-79.666505,Very flat. 1st transect is farthest from the station,9
FLL-B,B,FLL,0650459,0043350,0.392091,-79.647958,"Site is a bit feo. Entrada por la laguna. Transect 1 is closest to laguna, all run perpindicular to camino. Careful palma macorro y congas! Last site!!",14
FLL-C,C,FLL,0650436,0043310,0.391729,-79.648165,"Site is a bit past laguna entrance in front of FLL casa. Transects run uphill, moderately steep, perpindicular to road. 1st transect is 1st one you pass, parallel and close to camino up to casa.",14
FLL-V,V,FLL,0650381,0043128,0.390083,-79.648659,"Walk down from path, pretty good canopy cover. Transects run perpindicular to stream. 1 is downstream, closest to La Laguna. Not sure how / what to do with this site. It's cacao viejo but we also need a remnant forest site in the area...",14
GP-C,C,Gregory Paladines,0651400,0041403,0.37448,-79.639506,"Downhill fromthe house, start is below Maran tree. All transects perpindicular to camino. 1 is closest to Nacional / farthest uphill. Transect 4 is a bit angled downhill to avoid a wasp nest.",11
GP-N,N,Gregory Paladines,0651336,0041405,0.374498,-79.640081,"Transects perpindicular to camino, 2 and 3 are near Maran tree. Transect 1 is farthest downhill ie closest to CCN which is just a bit farther on the same camino.",11
JS-N,N,Jose Soli,0650595,0043209,0.390816,-79.646736,Right next to entrada la laguna. Inicio is by road with ends going up to the edge of cacao against the laguna. Inicios may seem oddly spaced by b/c we tried to have ends be right at edge of cacao by laguna.,14
JZ-C,C,Jacinto Zambrano,0648068,0042206,0.381747,-79.669441,"Both sites opposite sides of estero. 1 for each is closest to Estero. Nacional is tough to walk through, may be difficult to find transects at times",8
JZ-N,N,Jacinto Zambrano,0648066,0042169,0.381413,-79.669459,"Both sites opposite sides of estero. 1 for each is closest to Estero. Nacional is tough to walk through, may be difficult to find transects at times",8
JZJ-C,C,Jacinto Zambrano Jr,0647961,0039757,0.359597,-79.670406,"4 from JZJ CCN are parallel going downhill, start of each is by camino. 4 from AL Nacional are perpindicular to slope, start is on CCN side as there wasn't space in the Nacional",1
LG-C,C,Luis Gonzalez,0649603,0038609,0.349211,-79.655655,"CCN is right on side of camino. Was hard to find a spot with pure CCN, but this was the closest. About 5-10 Nacional trees mixed in but definitely a CCN spot. Transects run perpindicular to camino. 1 is lowest, closest towards house.",3
LG-N,N,Luis Gonzalez,0649687,0038580,0.348948,-79.6549,"Nacional is by the bamboo down a ways from the camino a la casa. There's a steep creek bed running between the Nacional sites, 2 transects on each side. Transect 1 is closest to camino, 1st one you cross going down.",3
LL-C,C,Luis Loor,0648376,0042657,0.385826,-79.666673,"Very open, easy to find. Transects are parallel to road, 1 is closest to the road",7
LL-N,N,Luis Loor,0648324,0042665,0.385898,-79.667141,Parallel to camino. Pretty messy,7
PM-C,C,Prof Miguel,0649537,0038840,0.3513,-79.656248,"Nacional is closest to walkway down, CCN on other side of open patch. Transect 1 of each is closest to the other plantation type. Be careful walking / aligning as each transect is at a bit of an angle going up the hill. Darwin wrote the #s on each estaca.",2
PM-N,N,Prof Miguel,0649469,0038861,0.35149,-79.656859,"Nacional is closest to walkway down, CCN on other side of open patch. Transect 1 of each is closest to the other plantation type. Be careful walking / aligning as each transect is at a bit of an angle going up the hill. Darwin wrote the #s on each estaca.",2
PV-N,N,Pablo Vera,0651583,0040099,0.362685,-79.637864,Behind Pablo's house that you drive by. 1st is closest to camino and is towards the house. Have to go up and over a ditch in all transects. Careful for the beans in transect # 2.,10
VC-C,C,Vicente Cabrera,0651578,0040244,0.363996,-79.637909,"Right next to Vicente's neighbors house. Start is closest to their house. A bit of Nacional but this was the best we could do. 1st transect is closest to road, they run parallel to road.",10
VC-N,N,Vicente Cabrera,0651743,0040248,0.364032,-79.636426,"Down the hill, near bosque. 1 is downhill, start by Darwin's favorite orange tree",10
